,比赛,时间,主队,比分,客队
290,欧洲预选,2013-11-20 03:45,瑞典,2-3,葡萄牙
291,欧洲预选,2013-11-16 03:45,葡萄牙,1-0,瑞典
292,欧洲预选,2013-10-16 01:00,葡萄牙,3-0,卢森堡
293,欧洲预选,2013-10-12 03:45,葡萄牙,1-1,以色列
294,球会友谊,2013-09-11 09:00,巴西,3-1,葡萄牙
295,欧洲预选,2013-09-07 02:45,北爱尔兰,2-4,葡萄牙
296,球会友谊,2013-08-15 03:30,葡萄牙,1-1,荷兰
297,球会友谊,2013-06-11 01:30,克罗地亚,0-1,葡萄牙
298,欧洲预选,2013-03-27 01:00,阿塞拜疆,0-2,葡萄牙
299,欧洲预选,2013-03-22 20:45,以色列,3-3,葡萄牙
300,球会友谊,2013-02-07 04:45,葡萄牙,2-3,厄瓜多尔
301,欧洲预选,2012-10-17 03:45,葡萄牙,1-1,北爱尔兰
302,欧洲预选,2012-09-12 03:15,葡萄牙,3-0,阿塞拜疆
303,欧洲预选,2012-09-08 02:45,卢森堡,1-2,葡萄牙
304,球会友谊,2012-08-16 04:00,葡萄牙,2-0,巴拿马
305,欧洲杯,2012-06-28 02:45,葡萄牙,0-0,西班牙
306,欧洲杯,2012-06-22 02:45,葡萄牙,1-0,捷克
307,欧洲杯,2012-06-18 02:45,葡萄牙,2-1,荷兰
308,欧洲杯,2012-06-13 23:59,丹麦,2-3,葡萄牙
309,欧洲杯,2012-06-10 02:45,德国,1-0,葡萄牙
310,球会友谊,2012-06-03 02:45,葡萄牙,1-3,土耳其
311,球会友谊,2012-05-26 23:59,葡萄牙,0-0,马其顿
312,球会友谊,2012-03-01 03:45,波兰,0-0,葡萄牙
313,欧洲杯,2011-11-16 05:00,葡萄牙,6-2,波黑
314,欧洲杯,2011-11-12 03:00,波黑,0-0,葡萄牙
315,欧洲杯,2011-10-12 02:15,丹麦,2-1,葡萄牙
316,欧洲杯,2011-10-08 04:00,葡萄牙,5-3,冰岛
317,欧洲杯,2011-09-03 02:45,塞浦路斯,0-4,葡萄牙
318,国际友谊,2017-11-12 04:30,西班牙,5-0,哥斯达黎加
319,欧洲预选,2017-10-10 02:45,以色列,0-1,西班牙
320,欧洲预选,2017-10-07 02:45,西班牙,3-0,阿尔巴尼亚
321,欧洲预选,2017-09-06 02:45,列支敦士登,0-8,西班牙
322,欧洲预选,2017-09-03 02:45,西班牙,3-0,意大利
323,欧洲预选,2017-06-12 02:45,马其顿,1-2,西班牙
324,国际友谊,2017-06-08 03:30,西班牙,2-2,哥伦比亚
325,国际友谊,2017-03-29 03:00,法国,0-2,西班牙
326,欧洲预选,2017-03-25 03:45,西班牙,4-1,以色列
327,国际友谊,2016-11-16 04:00,英格兰,2-2,西班牙
328,欧洲预选,2016-11-13 03:45,西班牙,4-0,马其顿
329,欧洲预选,2016-10-10 02:45,阿尔巴尼亚,0-2,西班牙
330,欧洲预选,2016-10-07 02:45,意大利,1-1,西班牙
331,欧洲预选,2016-09-06 02:45,西班牙,8-0,列支敦士登
332,国际友谊,2016-09-02 02:45,比利时,0-2,西班牙
333,欧洲杯,2016-06-27 23:59,意大利,2-0,西班牙
334,欧洲杯,2016-06-22 03:00,克罗地亚,2-1,西班牙
335,欧洲杯,2016-06-18 03:00,西班牙,3-0,土耳其
336,欧洲杯,2016-06-13 21:00,西班牙,1-0,捷克
337,国际友谊,2016-06-08 02:45,西班牙,0-1,格鲁吉亚
338,国际友谊,2016-06-01 22:30,西班牙,6-1,韩国
339,国际友谊,2016-05-29 23:59,西班牙,3-1,波黑
340,国际友谊,2016-03-28 02:45,罗马尼亚,0-0,西班牙
341,国际友谊,2016-03-25 03:45,意大利,1-1,西班牙
342,国际友谊,2015-11-14 03:45,西班牙,2-0,英格兰
343,欧洲杯,2015-10-13 02:45,乌克兰,0-1,西班牙
344,欧洲杯,2015-10-10 02:45,西班牙,4-0,卢森堡
345,欧洲杯,2015-09-09 02:45,马其顿,0-1,西班牙
346,欧洲杯,2015-09-06 02:45,西班牙,2-0,斯洛伐克
347,欧洲杯,2015-06-15 02:45,白俄罗斯,0-1,西班牙
348,国际友谊,2015-06-12 04:00,西班牙,2-1,哥斯达黎加
349,国际友谊,2015-04-01 02:45,荷兰,2-0,西班牙
350,欧洲杯,2015-03-28 03:45,西班牙,1-0,乌克兰
351,国际友谊,2014-11-19 03:45,西班牙,0-1,德国
352,欧洲杯,2014-11-16 03:45,西班牙,3-0,白俄罗斯
353,欧洲杯,2014-10-13 02:45,卢森堡,0-4,西班牙
354,欧洲杯,2014-10-10 02:45,斯洛伐克,2-1,西班牙
355,欧洲杯,2014-09-09 02:45,西班牙,5-1,马其顿
356,国际友谊,2014-09-05 03:00,法国,1-0,西班牙
357,世界杯,2014-06-24 00:00,澳大利亚,0-3,西班牙
358,世界杯,2014-06-19 03:00,西班牙,0-2,智利
359,世界杯,2014-06-14 03:00,西班牙,1-5,荷兰
360,国际友谊,2014-06-08 04:00,西班牙,2-0,萨尔瓦多
361,国际友谊,2014-05-31 04:00,西班牙,2-0,玻利维亚
362,国际友谊,2014-03-06 05:00,西班牙,1-0,意大利
363,球会友谊,2013-11-20 03:00,南非,1-0,西班牙
364,球会友谊,2013-11-17 05:00,赤道几内亚,1-2,西班牙
365,欧洲预选,2013-10-16 03:00,西班牙,2-0,格鲁吉亚
366,欧洲预选,2013-10-12 04:00,西班牙,2-1,白俄罗斯
367,球会友谊,2013-09-11 02:00,西班牙,2-2,智利
368,欧洲预选,2013-09-07 02:30,芬兰,0-2,西班牙
369,球会友谊,2013-08-15 04:00,厄瓜多尔,0-2,西班牙
370,洲际杯,2013-07-01 06:00,巴西,3-0,西班牙
371,洲际杯,2013-06-28 03:00,西班牙,0-0,意大利
372,洲际杯,2013-06-24 03:00,尼日利亚,0-3,西班牙
373,洲际杯,2013-06-21 03:00,西班牙,10-0,塔希提群岛
374,球会友谊,2013-06-12 08:00,西班牙,2-0,爱尔兰
375,球会友谊,2013-06-09 04:00,西班牙,2-1,海地
376,欧洲预选,2013-03-27 04:00,法国,0-1,西班牙
377,欧洲预选,2013-03-23 03:45,西班牙,1-1,芬兰
378,球会友谊,2012-11-15 05:30,巴拿马,1-5,西班牙
379,欧洲预选,2012-10-17 03:00,西班牙,1-1,法国
380,欧洲预选,2012-10-13 02:00,白俄罗斯,0-4,西班牙
381,欧洲预选,2012-09-12 01:30,格鲁吉亚,0-1,西班牙
382,欧洲杯,2012-07-02 02:45,西班牙,4-0,意大利
383,欧洲杯,2012-06-24 02:45,西班牙,2-0,法国
384,欧洲杯,2012-06-19 02:45,克罗地亚,0-1,西班牙
385,欧洲杯,2012-06-15 02:45,西班牙,4-0,爱尔兰
386,欧洲杯,2012-06-10 23:59,西班牙,1-1,意大利
387,球会友谊,2012-06-04 04:00,西班牙,1-0,中国
